Phrase,Definition,Type
ngāwari,"soft, supple of texture",Maori
ngāwari,"kind, pleasant of personality",Maori
ngenge,tired,Maori
ngeru,cat,Maori
ngunguru,to growl,Maori
ngutu,"lip, lips",Maori
niho,tooth,Maori
nō,"Various meanings: from, of, belonging to (ō category)",Maori
noa,"Various meanings, eg only, just, merely",Maori
noho,to sit,Maori
noho,to stay,Maori
noho,to live,Maori
noke,worm,Maori
nōku,"mine, realised possession, ō category",Maori
nōna,"his, her, realised possession, ō category",Maori
nui,"big, great, many",Maori
nuinga,majority,Maori
nuku,to move,Maori
nunui,big (plural form),Maori
o,"Has several uses: of, belonging to",Maori
ō,"your, one person, neutral category possession, plural ",Maori
oho,to wake up,Maori
ohorere,"to start suddenly, be startled",Maori
ōku,"mine, plural, ō category possession",Maori
oma,"to run, escape",Maori
ōna,"his / her, plural, ō category possession",Maori
one,"beach, sand",Maori
oneone,"earth, soil",Maori
ono,six,Maori
ope,group travelling together,Maori
ora,"alive, well, healthy, safe",Maori
oranga,"health, life",Maori
oreore,"to shake, quiver",Maori
ōrite,to be the same as,Maori
otaota,"vegetation, herbs, grass, weeds",Maori
oti,to be completed,Maori
otirā,"but, on the other hand",Maori
ōu,"yours, one person, ō category possession, plural",Maori
pā,"to touch, to affect",Maori
pā,Term of address for father: E pā,Maori
pā,a fortified settlement,Maori
pae,to be cast ashore,Maori
pae,"to lay horizontally; horizon, ridge of hills",Maori
pae,circumference,Maori
paepae,container,Maori
paepae,speakers’ bench on the marae,Maori
pahi,bus,Maori
pāhi,"purse, to pass",Maori
pahū,"to explode, burst; bomb",Maori
pahū,drum,Maori
pai,good,Maori
painga,"benefit, skill, good qualities",Maori
paipa,pipe,Maori
pakanga,"to fight, battle, war, hostility",Maori
pakari,strong,Maori
pakari,"mature, ripe",Maori
pakaru,"broken, shattered",Maori
pakaru,broken down,Maori
Pākehā,Pakehā,Maori
pakeke,"grown up, adult",Maori
pakeke,"hard, stiff",Maori
pākete,packet,Maori
pākete,bucket,Maori
paki,"to slap, to pat",Maori
pakipaki,"to applaud, to clap; applause",Maori
pakitara,wall,Maori
pakiwaitara,story,Maori
paku,small,Maori
pakupaku,very small,Maori
pāmu,farm,Maori
pana,"to push away, to expel",Maori
panana,banana,Maori
panga,to throw,Maori
panga,"puzzle, riddle",Maori
pāngarau,mathematics,Maori
pango,black,Maori
pani,orphan; to be orphaned,Maori
pānui,to read ,Maori
pānui,"to publish, advertise; notice, advertisement",Maori
paoro,ball,Maori
papa,"floor, ground, flat surface",Maori
pāpā,"father, uncle",Maori
parakuihi,breakfast,Maori
parāoa,"bread, flour",Maori
parauri,brown,Maori
pare,"headband, headdress",Maori
pare,"to ward off, to divert",Maori
pari,cliff,Maori
parirau,wing,Maori
paru,"dirt, mud, dirty",Maori
paruparu,"dirt, mud",Maori
pata,butter,Maori
pātai,question; to ask a question,Maori
pātata,close (of distance),Maori
pātene,button,Maori
pātiki,flounder (fish),Maori
pātītī,grass,Maori
patu,"to strike, beat, thrash",Maori
patu,to kill,Maori
patua,patu + passive suffix -a,Maori
pau,"to be consumed, used up completely, all gone",Maori
pāua,pāua (abalone),Maori
pea,"maybe, perhaps",Maori
pea,pear,Maori
pea,bear,Maori
pea,pair,Maori
pēhea,how?,Maori
peita,paint,Maori
peka,branch,Maori
pēkana,bacon,Maori
pekapeka,bat,Maori
peke,"to jump, to leap over",Maori
pēke,bag,Maori
pēnā,"like that, near listener",Maori
pene,pen,Maori
pēnei,"like this, near speaker",Maori
pepa,paper,Maori
pēpi,baby,Maori
pērā,"like that, yonder",Maori
pere,bell,Maori
pēwhea,how? (variant of pēhea),Maori
pī,bee,Maori
piki,to climb,Maori
piki,to increase,Maori
pikitia,"picture, film",Maori
pīpī,"chick, baby",Maori
pīrangi,"to want, desire",Maori
pirau,rotten,Maori
piri,"to stick to, to cling",Maori
pirihimana,police officer,Maori
piriti,bridge,Maori
piro,"stinking, putrid",Maori
pito,"end, extremity",Maori
pito,belly button,Maori
piupiu,"flax skirt worn as part of traditional costume, eg in kapa haka",Maori
pō,night,Maori
poaka,pig,Maori
pōhatu,stone,Maori
pōhēhē,"to think mistakenly, be mistaken",Maori
poi,"poi, small, soft ball on string",Maori
poka,"hole; to make a hole in, to pierce",Maori
pono,"true, faithful",Maori
poraka,frog,Maori
poraka,jersey,Maori
poro,"to cut off, to cut short",Maori
pōro,ball,Maori
porohita,"circle, round (variant of porowhita)",Maori
porowhita,"circle, round (variant of porohita)",Maori
pōtae,hat,Maori
poti,cat,Maori
poti,boat,Maori
poto,short,Maori
pou,"pole, post",Maori
pouaka,box,Maori
pouaka whakaata,television,Maori
pounamu,greenstone,Maori
pōuri,"sad, dark",Maori
pū,letter (of the alphabet),Maori
pū,gun,Maori
pū,to blow gently,Maori
puare,"open, opening",Maori
puehu,dust,Maori
puhi,to blow (wind),Maori
pūkaha,engine,Maori
pukapuka,book,Maori
pukapuka,lungs,Maori
puke,hill,Maori
pūkenga,"skilled, expert",Maori
puku,"stomach, belly",Maori
pūmau,"fixed, permanent",Maori
puna,"pool, spring",Maori
pūngāwerewere,spider,Maori
punua,young animal,Maori
puoro,"to sing, to rumble",Maori
pupū,to boil ,Maori
pupū,"to bubble up, arise from",Maori
pupuhi,to blow (of the wind),Maori
pupuhi,to shoot,Maori
pupuri,to hold onto,Maori
pūrākau,traditional story,Maori
purapura,seed,Maori
purei,to play / play,Maori
pūrere,"appliance, machine (electric)",Maori
pūrerehua,butterfly,Maori
puru,"to block up, plug",Maori
puru,"to put, place somewhere",Maori
purua,puru + passive suffix -a,Maori
puta,"to appear, to come out",Maori
pūtaiao,science,Maori
pūtake,"reason, cause",Maori
pūtake,root,Maori
putanga,"opening, exit",Maori
pūtea,"budget, resources",Maori
putiputi,flower,Maori
putu,"to heap up; a heap, pile",Maori
rā,"Various uses, meanings, eg over there ",Maori
rā,sun,Maori
rā,day,Maori
rahi,large,Maori
rākau,tree; timber,Maori
raki,north,Maori
rama,"light, torch",Maori
rānei,or,Maori
rangatahi,youth,Maori
rangatira,"chief, leader, boss",Maori
rangi,"sky, day",Maori
rango,"fly, blowfly",Maori
rangona,to be heard (passive form of rongo),Maori
rapa,to look for ,Maori
rapu,to look for,Maori
rārangi,"line, row",Maori
raro,under,Maori
raru,"trouble; to be in difficulty, in trouble",Maori
raruraru,"trouble, be in difficulty, in trouble",Maori
rata,"friendly, at ease, calm",Maori
rātou,"they, them, three or more people",Maori
rau,hundred,Maori
rau,leaf,Maori
rau,to put into,Maori
rāua,"they, them, two people",Maori
rawa,"Various meanings, eg quite, very",Maori
rawe,"lovely, excellent",Maori
rāwhiti,east,Maori
rēhia,"pleasure, amusement",Maori
reira,there (previously mentioned),Maori
reka,sweet,Maori
rekareka,"pleasant, delighted",Maori
reo,"language, voice",Maori
rere,to fly,Maori
rere,to flow,Maori
rere,to sail,Maori
rere,to escape,Maori
rerekē,"different, changed",Maori
rerenga,voyage,Maori
rerenga,"escape, running away",Maori
rererangi,airplane,Maori
reri,ready,Maori
reta,letter,Maori
reti,"to skate, slide",Maori
retireti,"skates, skating",Maori
rima,five,Maori
ringa,"hand, arm",Maori
ringaringa,"hand, arm",Maori
rino,iron,Maori
rīpene,"ribbon, tape",Maori
riri,"anger, angry",Maori
riro,"be obtained, be carried away, gone away",Maori
rita,litre,Maori
rite,like,Maori
rīwai,potato,Maori
rō,"in (short form of roto, as in: ki rō whare)",Maori
roa,long,Maori
roanga,length of time,Maori
rohe,"district, area",Maori
roimata,tears,Maori
rongo,"to hear, perceive",Maori
rongoā,medicine,Maori
rongonui,famous,Maori
rōpū,group,Maori
rori,road,Maori
rorohiko,computer,Maori
roto,in,Maori
rua,two,Maori
rua,hole,Maori
ruku,to dive,Maori
rūma,room,Maori
runga,on,Maori
tā,"ā category possession, singular form, used with other pronouns to form possessive pronouns, as in: ā mātou tamariki",Maori
tā,"according to, as said by (as in: Hei tā Manu)",Maori
tā,"to draw, paint",Maori
tā,"to publish, print",Maori
tae,"to reach, arrive",Maori
taea,"to be able, to be achieved",Maori
taenga,arrival,Maori
taha,"side, edge, margin",Maori
taha,to pass by,Maori
tāhau,"your, ā category possession, singular (variant of tāu)",Maori
tahi,"one, single",Maori
tāhuhu,ridgepole of a house,Maori
tāhuhu,"Ministry of Education, as in: Te Tāhuhu o te Mātauranga",Maori
tahuri,"to turn around, to turn over",Maori
tahuri,to capsize,Maori
tai,"the sea, as opposed to land",Maori
tai,tide,Maori
tāia,tā + passive suffix -ia,Maori
taiapa,fence,Maori
taihoa,wait,Maori
taitama,young man,Maori
taka,"to fall, to fall off, to drop",Maori
taka,to come around in a cycle ,Maori
tākaro,to play,Maori
take,"reason, cause, origin",Maori
take,subject of discussion,Maori
take,"root, stump",Maori
taki,"to recite, to recount",Maori
taki,"to lead, to bring along",Maori
takiwā,"district, region",Maori
takoto,to lie down,Maori
taku,"my, neutral, singular",Maori
tāku,"my, ā category possession, singular",Maori
tākuta,doctor,Maori
tama,"son, nephew, Term of address for a boy, son: tama",Maori
tamāhine,daughter,Maori
tamaiti,child,Maori
tamariki,children (plural form of tamaiti),Maori
tamatāne,boy,Maori
tame,male animal,Maori
tana,"his / her, neutral, singular",Maori
tāna,"his / her, ā category possession, singular",Maori
tāne,man,Maori
tangata,person,Maori
tāngata,people (plural of tangata),Maori
tangi,to cry,Maori
tangi,"to mourn, lament",Maori
tangi,"to make a sound, sound",Maori
tango,to take hold of,Maori
tangohia,tango + passive suffix -hia,Maori
taniwha,"monster, traditional guardian of bodies of water",Maori
tao,to cook,Maori
tāone,town,Maori
taonga,"prized possession, treasure",Maori
taonga,"property, possession",Maori
tapa,"edge, margin",Maori
tapa,to name,Maori
tapahi,"to cut up, chop",Maori
tapahia,tapahi + passive suffix -a,Maori
tāpiri,"to join something on, to add",Maori
tapu,"sacred, holy, under ritual restriction",Maori
taputapu,"utensil, tool",Maori
taputapu,appliance,Maori
taputapu,"gear, equipment",Maori
tapuwae,footprint,Maori
tāra,dollar,Maori
taraiwa,to drive; driver,Maori
taraka,truck,Maori
tarau,trousers,Maori
tari,study,Maori
tari,department,Maori
taringa,ear,Maori
taro,"presently, by and by, as in: taro ake",Maori
tata,near,Maori
tātahi,"seaside, beach",Maori
tātai,"to measure, to calculate",Maori
tātai,"to arrange, to set in order",Maori
tatari,to wait,Maori
tatau,door,Maori
tatau,to count,Maori
tātou,"we, us, inclusive, three or more people",Maori
tau,number,Maori
tau,"year, period of time",Maori
tau,"age, as in: e iwa aku tau",Maori
tau,"beloved, darling",Maori
tau,"to land on, alight, come to rest",Maori
tau,to settle down,Maori
tāu,"your, one person, ā category, singular",Maori
taua,"that, previously mentioned (singular)",Maori
tāua,"we, us, you and I, inclusive, dual",Maori
tauhou,"strange, unfamiliar; stranger",Maori
tauira,student,Maori
tauira,example,Maori
taumaha,"heavy, of weight",Maori
taumaha,"heavy, difficult of spirit or health",Maori
taumata,"peak, pinnacle",Maori
taumata,"grade, level of achievement",Maori
taunga,"landing place, resting place, anchorage",Maori
taunga,fishing ground,Maori
taunga,"to be accustomed to, familiar with",Maori
taupoki,"to cover, close with a lid; lid, cover",Maori
taura,"rope, cable",Maori
tautoko,to support,Maori
tawhiti,"distant, a distant place",Maori
tawhito,"old, former",Maori
te,"the, singular definite article",Maori
tēhea,"which, singular",Maori
teina,"younger sibling, same sex",Maori
teitei,"tall, high, lofty; height",Maori
tekau,ten,Maori
tēnā,"that, by the listener",Maori
tēnei,"this, by speaker",Maori
tēpu,table,Maori
tērā,"that, yonder",Maori
tere,"to flow, float, move quickly; fast",Maori
tētahi,"a, one specific thing",Maori
tētehi,"a, one specific thing (variant of tētahi)",Maori
tī,tea,Maori
tī,cabbage tree,Maori
tiaki,"to look after, to care for",Maori
tihi,summit,Maori
tihi,topknot,Maori
tika,"to be right, correct, straight, in order",Maori
tikanga,"custom, habit, agreed way of doing things",Maori
tikanga,"reason, meaning",Maori
tiki,to fetch,Maori
tiki atu," go and fetch, bring",Maori
tiki mai,"come and fetch, take away",Maori
tīkina,tiki + passive suffix -na (note the first i is lengthened),Maori
tīma,team,Maori
tīmata,"to begin, to start",Maori
tīmatanga,beginning,Maori
tīmata, + nominal suffix -nga,Maori
tina,"dinner, lunch",Maori
tinana,"body, trunk, torso",Maori
tini,"very many, numerous, plenty; multitude, throng",Maori
tīni,to change,Maori
tinihanga,"to decieve, cheat",Maori
tinihanga,"to trick, amuse with trickery",Maori
tino,very,Maori
tipu,"to grow, develop",Maori
tipu,"a plant, shoot",Maori
tipua,a type of taniwha,Maori
tipua,"strange, unusual",Maori
tipua,a person of high status,Maori
tipuna,"grandparent, ancestor",Maori
tīpuna,grandparents (plural form of tipuna),Maori
tira,travelling party,Maori
tira,group or row of people,Maori
tiriti,treaty,Maori
tiriti,street,Maori
tiro,to look,Maori
tirohanga,tiro + nominal suffix -hanga,Maori
tirohia,tiro + passive suffix -hia,Maori
tirotiro,"to look about, to investigate",Maori
titiro,to look at,Maori
tō,"your, neutral, one person, singular",Maori
tō,stove,Maori
tō,to drag,Maori
toa,shop,Maori
toa,brave,Maori
toa,"to win, come first; winner",Maori
toa,male animal,Maori
toe,"to remain, be left over",Maori
toenga,"leftovers, remnants",Maori
tohorā,whale,Maori
tohu,"a sign, mark",Maori
tohu,"to indicate, point out",Maori
tohu,"a qualification, eg degree",Maori
tohua,tohu + passive suffix -a,Maori
tohunga,"expert, priest",Maori
tohutohu,"to instruct; to guide, direct; instructions, directions",Maori
toi,"origin, source; native, indigenous",Maori
toi,"art, knowledge",Maori
toka,rock,Maori
tōkena,"stockings, socks",Maori
tokomaha,many (of people),Maori
tokorua,two (of people),Maori
tokotoru,three (people),Maori
tōku,"my, ō category possession, singular",Maori
tomo,"to enter, go into",Maori
tōna,"his / her, ō category possession, singular",Maori
tonga,south,Maori
tono,"to send, to command",Maori
tono,"to ask for, to request, to demand",Maori
tono,to apply for,Maori
tonoa,tono + passive suffix -a,Maori
tonu,still,Maori
tonutia,tonu + passive suffix -tia,Maori
toro,"to stretch out, to extend",Maori
toro,to visit,Maori
toroa,albatross,Maori
toru,three,Maori
tote,salt,Maori
tōtika,"straight, direct, right",Maori
toto,blood,Maori
tōu,"your, ō category possession, singular",Maori
tū,to stand,Maori
tū,to be wounded; a wound,Maori
tua,beyond,Maori
tuahine,"sister, of a male",Maori
tuakana,older sibling of the same sex ,Maori
tuanui,roof,Maori
tuarā,back,Maori
tuarua,second,Maori
tuatahi,first,Maori
tuatoru,third,Maori
tuawhā,fourth,Maori
tuhi,"to write, to draw",Maori
tuhi,"to indicate, point out",Maori
tuhia,tuhi + passive suffix -a,Maori
tuhinga,"writing, text",Maori
tuhituhi,"to write, draw",Maori
tuhituhinga,"writing, text",Maori
tuki,"to hit, to knock, to beat, to pound",Maori
tuku,to allow,Maori
tuku,to send,Maori
tuku,to let something down; to hand something down,Maori
tuku,"to let go, to give up",Maori
tuku,"to put off, to leave aside",Maori
tukua,tuku + passive suffix -a,Maori
tukuna,tuku + passive suffix -na,Maori
tukutuku,woven wall panels,Maori
tukutuku,spider web,Maori
tūmanako,"to hope for, anticipate, expect",Maori
tumeke,"to take fright, surprise",Maori
tuna,eel,Maori
tungāne,"brother, of a female",Maori
tunu,"to cook, roast",Maori
tūpato,"to be careful; caution, cautious",Maori
tupu,"to grow, develop; a plant, shoot",Maori
tūpuna,grandparents (plural form of tupuna),Maori
tūranga,"position, job",Maori
tūranga,"stopping place, as in: tūranga pahi bus stop ",Maori
ture,"law, rule",Maori
tūrehu,fairy,Maori
turituri,be quiet! noisy,Maori
tūru,"chair, seat, stool",Maori
tūtaki,to meet,Maori
tūtaki,"to close up, to block",Maori
tutuki,"to complete, to achieve",Maori
tūturu,"real, natural, authentic",Maori
tūturu,"fixed, permanent, definite",Maori
ū,"to land, to reach land",Maori
ū,"to be firm, fixed",Maori
ū,"breast, udder",Maori
ua,to rain; rain,Maori
uaua,difficult,Maori
uaua,"muscle, vein, artery",Maori
uhi,to cover,Maori
uhia,uhi + passive suffix -a,Maori
ui,"to ask, enquire",Maori
uira,lightning; to flash,Maori
uku,clay,Maori
uku,to wash,Maori
umere,"to shout (in wonder, in appreciation)",Maori
upoko,head,Maori
upoko,chapter of a book,Maori
upoko,verse of a song,Maori
uri,"descendant, offspring",Maori
uru,"to enter, to go into",Maori
uru,west,Maori
uta,"shore, land as opposed to sea or water",Maori
uta,to load,Maori
utu,"cost, price; to pay for",Maori
uwha,female animal,Maori
wā,time,Maori
wā,"place, space, area",Maori
waea,telephone,Maori
waea,wire,Maori
waenga,"middle, dividing line",Maori
waenganui,"middle, centre, between",Maori
waewae,foot,Maori
waha,mouth,Maori
waha,to carry on the back,Maori
waha,"load, burden",Maori
wāhanga,"part, portion, section",Maori
wāhanga,"chapter, episode",Maori
wāhi,"place, locality",Maori
wāhi,"to break, to split, to break open",Maori
wāhi,"part, portion",Maori
wahie,driftwood,Maori
wahine,"woman, wife",Maori
wāhine,"women, wives (plural form of wahine)",Maori
waho,"out, outside, the outside",Maori
Wai?,who?,Maori
wai,water,Maori
wai,juice,Maori
waiariki,hot spring,Maori
waiata,to sing,Maori
waihanga,"to make, build something",Maori
waiho,to leave something somewhere,Maori
waiho,"to remain, rest",Maori
waimarie,"lucky, fortunate; luck, good fortune",Maori
wairua,spirit,Maori
waka,canoe,Maori
waka,car,Maori
waka,"vehicle (land, air and sea)",Maori
wānanga,"place of learning, as in: whare wānanga",Maori
wao,forest,Maori
wareware,to forget; forgetful,Maori
waru,eight,Maori
waru,"to scrape, to peel",Maori
wātea,"to be clear, unoccupied, free of obstruction",Maori
wawata,"to long for, yearn for",Maori
wawe,"early, soon, quickly",Maori
wehe,"to separate, divide",Maori
wehenga,"departure, leaving",Maori
wehenga,"part, division, separation",Maori
wehi,to be afraid,Maori
wehi,terrible,Maori
weka,"weka, a native woodhen",Maori
wera,"to burn; burnt; hot, heat",Maori
wero,to pierce,Maori
wero,to challenge; formal challenge at a welcome ceremony,Maori
whā,four,Maori
whaea,"mother, aunt",Maori
whai,"to follow, to chase",Maori
whāia,whai + passive suffix -a (note lengthening of first vowel),Maori
whāinga,"objective, aim, purpose",Maori
whāiti,"narrow, crowded together",Maori
whakaae,to agree,Maori
whakaahua,to take photos; photograph,Maori
whakaari,"to display, to exhibit ",Maori
whakaari,"play, drama, performance",Maori
whakaaro,to think; thought,Maori
whakaata,"to display, show",Maori
whakaata,mirror,Maori
whakaatu,"to display, show, demonstrate",Maori
whakaaturanga,display,Maori
whakaaturanga,television programme,Maori
whakahaere,"to run something, manage, make something go ",Maori
whakahau,"to command, order",Maori
whakahau,to encourage,Maori
whakaheke,"to decrease, drop, lower",Maori
whakahīhī,arrogant,Maori
whakahirahira,"great, magnificent, wonderful, very important",Maori
whakahoki,"to return, to reply",Maori
whakahokia,whakahoki + passive suffix -a,Maori
whakairo,"to carve, a carving",Maori
whakakī,to fill something,Maori
whakamā,"to be embarrassed, ashamed",Maori
whakamahi,"to operate, to make something work",Maori
whakamahi,"to put someone to work, to make someone work",Maori
whakamahia,whakamahi + passive suffix -a,Maori
whakamāori,to translate into Māori,Maori
whakamārama,to explain,Maori
whakamātau,"to test, examine",Maori
whakamātautau,"examination, test",Maori
whakamau,to put on,Maori
whakamau,"to fix, fasten",Maori
whakamaua,whakamau + passive suffix -a,Maori
whakamīharo,"amazing, astonishing",Maori
whakamua,"frontward, towards the front",Maori
whakamuri,towards the back,Maori
whakamutunga,"ending, conclusion",Maori
whakangā,to rest,Maori
whakangahau,"to entertain, to amuse",Maori
whakanui,"to honour, to praise",Maori
whakanui,to enlarge,Maori
whakaora,"to rescue, to cure",Maori
whakapae,"lying crosswise, horizontal",Maori
whakapai,"to improve, to fix up",Maori
whakapaipai,"to decorate, to adorn",Maori
whakapakari,to strengthen,Maori
whakapapa,genealogy,Maori
whakapiri,"to cling to, stick to",Maori
whakapono,to believe; faith,Maori
whakaputa,to produce,Maori
whakaputa,"to reveal, to publish",Maori
whakaputa,"to make something come out, to appear",Maori
whakararo,downwards,Maori
whakarite,to prepare,Maori
whakarite,"to arrange, to put in order",Maori
whakarite,to compare,Maori
whakaritea,whakarite + passive suffix -a,Maori
whakarongo,to listen,Maori
whakarunga,upwards,Maori
whakatā,to rest,Maori
whakataetae,competition,Maori
whakatakoto,to lay something down,Maori
whakatata,to come closer to,Maori
whakatau,to decide,Maori
whakatika,"to straighten, to correct, to fix",Maori
whakatikatika,"to rearrange, to put in order, to fix",Maori
whakatipu,to raise,Maori
whakatoi,to give cheek,Maori
whakatū,"to establish, to put someone or something in position",Maori
whakatū,to stand something up,Maori
whakatūpato,"to warn, to caution",Maori
whakatūria,whakatū + passive suffix -ria,Maori
whakauru,"to enter, to join, to enrol",Maori
whakautu,"to reply, to respond",Maori
whakawhiti,to cross,Maori
whāki,"to reveal, to disclose, to confess",Maori
whānau,family,Maori
whānau,to be born / be born,Maori
whanaunga,"relative, relation",Maori
whanga,bay,Maori
whanga,to wait,Maori
whāngai,"to feed, to foster",Maori
whānui,"broad, wide",Maori
whara,to be injured,Maori
whārangi,page,Maori
whare,"house, building",Maori
wharekura,Māori-medium secondary school,Maori
whāriki,"mat, carpet, rug",Maori
whatu,eye,Maori
whatu,stone,Maori
whatu,"to weave, knit",Maori
whāwhā,"to fiddle with, to touch",Maori
whawhai,to fight; a battle,Maori
whea,where? (variant of hea),Maori
whenua,land,Maori
whero,red,Maori
whetū,star,Maori
whiti,to cross,Maori
whitu,seven,Maori
whiu,"to throw, to fling",Maori
whiu,to whip,Maori
whiu,to be satisfied,Maori
whiua,whiu + passive suffix -a,Maori
whiwhi,"to get, to acquire, to win",Maori
whiwhi,to be in possession of,Maori
whutupōro,"football, rugby",Maori
wiki,week,Maori
wīra,wheel,Maori
wiriwiri,"to tremble, to shake, to quiver",Maori